FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,Crop_ref,Edible,Energy,WATER,Protein,Fat,Carbohydrate,Fiber,ASH,CA,FE,MG,P,K,NA,ZN,CU,VITA_RAE,RETOL,B_Cart_eq,VITD,VITE,THIA,RIBF,NIA,VITB6C,FOL,VITB12,VITC,food_group_unicef
11445,11,445,Beverages,"Juice, lemon, unsweetened",,1,34,91.3,0.4,0.1,7.8,0.2,0.3,7,0.2,6,8,129,1,0.08,0.04,1,0,7,0,0.08,0.03,0.01,0.1,0.05,14,0,40.6,non-category
1004,1,4,Cereals and their products,"Maize, white",,1,351,11.4,9.2,4.1,63.9,9.7,1.8,19,3.1,82,246,310,11,1.55,0.18,0,0,0,0,1.3,0.35,0.1,2.1,0.2,26,0,0,"Grains, roots and tubers "
1039,1,39,Cereals and their products,Sorghum,,1,347,10.9,10.5,3.3,63.1,9.9,2.4,24,3.7,311,297,377,14,1.79,0.38,1,0,17,0,1.1,0.36,0.16,3.3,0.25,29,0,0,"Grains, roots and tubers "
1043,1,43,Cereals and their products,Wheat flour,,1,356,11.8,10.4,1.5,72.5,3.2,0.6,19,2,60,110,135,3,1.8,0.15,0,0,1,0,0.3,0.28,0.1,1.2,0.2,24,0,0,"Grains, roots and tubers "
1072,1,72,Cereals and their products,"Sorghum, flour, degermed",,1,351,11,10.4,1.7,70.4,4.7,1.9,12,3.8,119,285,308,14,2.14,0.22,0,0,1,0,0.26,0.18,0.12,1.4,0.25,25,0,0,"Grains, roots and tubers "
1057,1,57,Cereals and their products,"Maize, white, flour of whole grain",,1,354,11.5,9.7,4,64.5,9,1.4,18,3.8,93,198,315,11,1.73,0.23,0,0,1,0,1.3,0.5,0.12,1.4,0.37,25,0,0,"Grains, roots and tubers "
1045,1,45,Cereals and their products,Bread white,,1,268,34.3,9.1,2.7,49.6,2.7,1.7,26,1.2,23,98,139,518,0.8,0.13,0,0,0,0,0.4,0.18,0.06,1.7,0.04,28,0,0,"Grains, roots and tubers "
1034,1,34,Cereals and their products,"Rice, brown",,1,356,11.9,7.8,2.2,73.8,3,1.3,22,1.9,143,277,249,6,2.02,0.28,0,0,0,0,0.6,0.38,0.07,5,0.51,40,0,0,"Grains, roots and tubers "
1037,1,37,Cereals and their products,"Rice, white",,1,354,12.1,6.9,0.6,78.3,1.4,0.7,12,1.4,35,115,98,5,1.16,0.18,0,0,0,0,0.11,0.07,0.04,1.3,0.2,20,0,0,"Grains, roots and tubers "
8354,8,354,Eggs and their products,"Egg, chicken",,0.88,138,76.2,12.6,9.5,0.7,0,1.1,56,1.8,12,198,138,142,1.29,0.07,160,160,5,2,1.05,0.04,0.46,0.1,0.17,47,0.9,0,Eggs 
9398,9,398,Fish and their products,Tilapia,,0.65,100,76.5,18.8,2.7,0,0,1.7,17,1.3,36,275,378,52,0.83,0.06,26,26,0,3.1,0.4,0.04,0.06,3.5,0.24,24,1.6,,Flesh foods 
