FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,Crop_ref,Edible,Energy,WATER,Protein,Fat,Carbohydrate,Fiber,ASH,CA,FE,MG,P,K,NA,ZN,CU,VITA_RAE,RETOL,B_Cart_eq,VITD,VITE,THIA,RIBF,NIA,VITB6C,FOL,VITB12,VITC,food_group_unicef
20018,12,826,Miscellaneous,Mung bean / Masho,,0,325,0,20.9,1.3,49.6,15.4,3.1,89.4,4.4,139.4,350.4,1180,9.1,1.62,1.16,7.1,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts 
20021,12,811,Miscellaneous,Faba bean,,0,309,0,25.3,1.4,38.3,20.8,3.3,95.6,5.2,135.5,430.6,1190,25,3.55,0.82,2.4,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts 
20033,12,808,Miscellaneous,Chick peas@ white,,0,337,0,20.4,5.2,42,20.7,2.8,121.1,6.6,131.5,264.4,819.1,11.8,3.12,0.44,4.5,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts 
20006,12,820,Miscellaneous,Haricot beans@ white,,0,311,0,21.8,1.8,42.6,18.6,3.7,141.5,8,165.5,403.9,1340,16.7,2.91,1.03,0,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts 
20005,12,819,Miscellaneous,Haricot beans@ red,,0,337,0,22.5,1.1,61.3,15.2,3.4,83,6.7,138,406,1359,12,2.79,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts 
1015,1,15,Cereals and their products,Millet@ whole,,1,351,11.6,10.9,4.1,62.6,8.8,2,35,9.5,273,311,380,19,1.47,0.52,,0,,0,0.05,0.3,0.13,1.7,0.73,29,0,0,Grains@ roots and tubers 
1032,1,32,Cereals and their products,Pearl millet,https://en.wikipedia.org/wiki/Pearl_millet,1,385,7.8,11.1,7.8,62,9.6,1.7,14,7.8,100,214,414,19,2.92,0.46,,0,,0,0.09,0.2,0.12,2.5,0.76,30,0,0,Grains@ roots and tubers 
1039,1,39,Cereals and their products,Sorghum,,1,347,10.9,10.5,3.3,63.1,9.9,2.4,24,3.7,311,297,377,14,1.79,0.38,1,0,17,0,1.1,0.36,0.16,3.3,0.25,29,0,0,Grains@ roots and tubers 
1041,1,41,Cereals and their products,Sorghum@ red,,1,351,10.1,10.5,3.5,63.6,9.9,2.4,24,3.4,311,297,387,14,1.97,0.26,,0,,0,1.1,0.36,0.16,3.3,0.25,30,0,0,Grains@ roots and tubers 
1043,1,43,Cereals and their products,Wheat flour,,1,356,11.8,10.4,1.5,72.5,3.2,0.6,19,2,60,110,135,3,1.8,0.15,0,0,1,0,0.3,0.28,0.1,1.2,0.2,24,0,0,Grains@ roots and tubers 
