id,food_name,food_name2_no_quotation,food_group,nutrition_group,Edible conversion factor,Energy_kj,Energy_kcal ,Water,Protein,Fat,Carbohydrate available ,Fibre,Ash,Ca,Fe,Mg,P,K,Na,Zn,Se,Vit A-RAE,Vit A-RE,Retinol ,b-carotene equivalent ,Thiamin ,Riboflavin ,Niacin,Dietary Folate Eq.,Food folate ,Vit B12 ,Vit C,food_group_unicef
6001,"Butter (cow milk), no added salt (~80-84% fat)","Butter (cow milk), no added salt (~80-84% fat)",MILK AND DAIRY PRODUCTS,,1,3020,735,17.2,1.1,81.3,0,0,0.7,15,0,2,20,15,10,0.06,1,845,858,832,153,0,0.05,1.1,6,6,0,0,Dairy products 
6002,"Butter (cow milk), salted (~80% fat)  ","Butter (cow milk), salted (~80% fat)  ",MILK AND DAIRY PRODUCTS,,1,3040,739,15.3,1.1,81.3,0.6,0,1.7,17,0.01,2,16,23,776,0.06,1,845,858,832,153,0,0.05,1.1,6,6,0,0,Dairy products 
6003,"Cheese, cheddar, regular fat","Cheese, cheddar, regular fat",MILK AND DAIRY PRODUCTS,,1,1660,401,37,26,32.8,0.4,0,3.8,800,0.3,27,478,73,600,3.55,17,166,174,159,87,0.04,0.5,1.5,52,52,1.9,1,Dairy products 
6004,"Cheese, cottage (cow milk), plain, skimmed","Cheese, cottage (cow milk), plain, skimmed",MILK AND DAIRY PRODUCTS,,1,382,91,79,13.3,2.5,3.8,0,1.5,60,0.1,8,143,123,450,0.24,6,34,37,30,44,0.05,0.2,0.5,3,3,0.6,0,Dairy products 
6005,"Cheese, cottage (cow milk), plain, whole","Cheese, cottage (cow milk), plain, whole",MILK AND DAIRY PRODUCTS,,1,508,121,75.4,15.4,5.7,2.1,0,1.4,89,0.1,8,143,123,277,0.24,6,35,38,31,44,0.05,0.29,0.5,3,3,0.6,0,Dairy products 
6006,"Cheese, cottage, Milk, Cow, Sour","Cheese, cottage, Milk, Cow, Sour",MILK AND DAIRY PRODUCTS,,1,515,122,73.6,13.7,4.3,7.2,0,1.2,112,0.7,8,180,104,364,0.4,10,37,38,36,12,0.03,0.27,0.1,12,12,0.43,0,Dairy products 
6007,"Cream, pure, 35% fat","Cream, pure, 35% fat",MILK AND DAIRY PRODUCTS,,1,943,229,72,2.4,23.6,1.7,0,0.3,39,0.3,4,60,55,40,0,0,174,184,164,118,0.03,0.12,0,64,64,0.2,0,Dairy products 
6008,Ghee (cow milk),Ghee (cow milk),MILK AND DAIRY PRODUCTS,,1,3690,898,0,0.3,99.9,0,0,0.5,2,0.2,0,3,5,2,0.01,1,900,940,860,480,0,0.01,0,0,0,0,0,Dairy products 
6009,"Ice cream, caramel flavour, regular fat","Ice cream, caramel flavour, regular fat",MILK AND DAIRY PRODUCTS,,1,856,205,61.4,3.7,10.6,23.6,0,0.7,93,0.1,12,84,142,48,0.23,1,166,182,150,190,0,0.29,0.7,10,10,0.1,0,Dairy products 
6010,"Ice cream, chocolate flavour, regular fat","Ice cream, chocolate flavour, regular fat",MILK AND DAIRY PRODUCTS,,1,946,226,56.4,4.4,12,24.2,2,1,130,0.9,30,110,245,71,0.6,2,145,147,143,23,0,0.19,0.2,16,16,0.25,0.7,Dairy products 
