myFCT,AEZ_id
14,Tigray
15,Tigray
36,Tigray
39,Tigray
40,Tigray
52,Tigray
74,Tigray
83,Tigray
96,Tigray
118,Tigray
134,Tigray
140,Tigray
155,Tigray
156,Tigray
165,Tigray
168,Tigray
171,Tigray
190,Tigray
197,Tigray
199,Tigray
201,Tigray
222,Tigray
229,Tigray
233,Tigray
234,Tigray
235,Tigray
236,Tigray
241,Tigray
245,Tigray
247,Tigray
272,Tigray
276,Tigray
292,Tigray
294,Tigray
326,Tigray
336,Tigray
354,Tigray
405,Tigray
407,Tigray
409,Tigray
412,Tigray
426,Tigray
800,Tigray
801,Tigray
804,Tigray
806,Tigray
807,Tigray
809,Tigray
810,Tigray
811,Tigray
812,Tigray
813,Tigray
814,Tigray
817,Tigray
818,Tigray
819,Tigray
820,Tigray
821,Tigray
822,Tigray
824,Tigray
825,Tigray
826,Tigray
827,Tigray
828,Tigray
829,Tigray
830,Tigray
831,Tigray
832,Tigray
833,Tigray
834,Tigray
835,Tigray
836,Tigray
14,Afar
36,Afar
39,Afar
52,Afar
74,Afar
83,Afar
96,Afar
134,Afar
155,Afar
168,Afar
171,Afar
197,Afar
199,Afar
222,Afar
229,Afar
233,Afar
234,Afar
235,Afar
236,Afar
241,Afar
247,Afar
272,Afar
276,Afar
292,Afar
294,Afar
336,Afar
405,Afar
407,Afar
409,Afar
422,Afar
426,Afar
800,Afar
803,Afar
804,Afar
805,Afar
810,Afar
819,Afar
820,Afar
823,Afar
825,Afar
826,Afar
830,Afar
834,Afar
835,Afar
837,Afar
14,Amhara
15,Amhara
36,Amhara
39,Amhara
40,Amhara
52,Amhara
74,Amhara
83,Amhara
96,Amhara
118,Amhara
134,Amhara
140,Amhara
155,Amhara
156,Amhara
165,Amhara
168,Amhara
171,Amhara
190,Amhara
197,Amhara
199,Amhara
201,Amhara
222,Amhara
229,Amhara
233,Amhara
234,Amhara
235,Amhara
236,Amhara
237,Amhara
241,Amhara
245,Amhara
247,Amhara
272,Amhara
276,Amhara
292,Amhara
294,Amhara
326,Amhara
336,Amhara
354,Amhara
405,Amhara
407,Amhara
409,Amhara
412,Amhara
426,Amhara
800,Amhara
801,Amhara
804,Amhara
806,Amhara
807,Amhara
808,Amhara
809,Amhara
810,Amhara
811,Amhara
812,Amhara
813,Amhara
814,Amhara
816,Amhara
817,Amhara
818,Amhara
819,Amhara
820,Amhara
821,Amhara
822,Amhara
824,Amhara
825,Amhara
826,Amhara
827,Amhara
828,Amhara
829,Amhara
830,Amhara
831,Amhara
832,Amhara
833,Amhara
834,Amhara
835,Amhara
836,Amhara
14,Oromia
15,Oromia
36,Oromia
39,Oromia
40,Oromia
52,Oromia
74,Oromia
83,Oromia
89,Oromia
93,Oromia
96,Oromia
118,Oromia
134,Oromia
140,Oromia
155,Oromia
156,Oromia
165,Oromia
168,Oromia
171,Oromia
190,Oromia
197,Oromia
199,Oromia
201,Oromia
222,Oromia
229,Oromia
233,Oromia
234,Oromia
235,Oromia
236,Oromia
237,Oromia
241,Oromia
245,Oromia
247,Oromia
272,Oromia
276,Oromia
292,Oromia
294,Oromia
326,Oromia
336,Oromia
354,Oromia
405,Oromia
407,Oromia
409,Oromia
412,Oromia
426,Oromia
800,Oromia
801,Oromia
804,Oromia
806,Oromia
807,Oromia
808,Oromia
809,Oromia
810,Oromia
811,Oromia
812,Oromia
813,Oromia
814,Oromia
816,Oromia
817,Oromia
818,Oromia
819,Oromia
820,Oromia
821,Oromia
822,Oromia
824,Oromia
825,Oromia
826,Oromia
827,Oromia
828,Oromia
829,Oromia
830,Oromia
831,Oromia
832,Oromia
833,Oromia
834,Oromia
835,Oromia
836,Oromia
14,Somali
36,Somali
39,Somali
52,Somali
74,Somali
83,Somali
96,Somali
134,Somali
155,Somali
165,Somali
168,Somali
171,Somali
199,Somali
222,Somali
229,Somali
233,Somali
234,Somali
235,Somali
236,Somali
241,Somali
247,Somali
272,Somali
276,Somali
292,Somali
294,Somali
336,Somali
405,Somali
407,Somali
409,Somali
422,Somali
426,Somali
800,Somali
803,Somali
804,Somali
805,Somali
806,Somali
809,Somali
819,Somali
820,Somali
823,Somali
825,Somali
826,Somali
834,Somali
835,Somali
837,Somali
14,Bensh-G
15,Bensh-G
36,Bensh-G
39,Bensh-G
52,Bensh-G
74,Bensh-G
83,Bensh-G
89,Bensh-G
93,Bensh-G
96,Bensh-G
118,Bensh-G
134,Bensh-G
140,Bensh-G
155,Bensh-G
156,Bensh-G
165,Bensh-G
167,Bensh-G
168,Bensh-G
171,Bensh-G
190,Bensh-G
197,Bensh-G
199,Bensh-G
222,Bensh-G
229,Bensh-G
233,Bensh-G
234,Bensh-G
235,Bensh-G
236,Bensh-G
237,Bensh-G
247,Bensh-G
272,Bensh-G
276,Bensh-G
292,Bensh-G
294,Bensh-G
326,Bensh-G
336,Bensh-G
354,Bensh-G
405,Bensh-G
409,Bensh-G
426,Bensh-G
800,Bensh-G
801,Bensh-G
802,Bensh-G
804,Bensh-G
806,Bensh-G
807,Bensh-G
808,Bensh-G
809,Bensh-G
810,Bensh-G
811,Bensh-G
812,Bensh-G
813,Bensh-G
814,Bensh-G
816,Bensh-G
818,Bensh-G
819,Bensh-G
820,Bensh-G
821,Bensh-G
822,Bensh-G
824,Bensh-G
826,Bensh-G
827,Bensh-G
828,Bensh-G
829,Bensh-G
830,Bensh-G
832,Bensh-G
834,Bensh-G
835,Bensh-G
838,Bensh-G
14,SNNPR
15,SNNPR
36,SNNPR
39,SNNPR
40,SNNPR
52,SNNPR
74,SNNPR
83,SNNPR
89,SNNPR
