region1,region2,region3
Oromia,Addis Ababa,Addis Ketema
Oromia,Addis Ababa,Akaki - Kalit
Oromia,Addis Ababa,Arada
Oromia,Addis Ababa,Bole
Oromia,Addis Ababa,Gulele
Oromia,Addis Ababa,Kirkos
Oromia,Addis Ababa,Kolfe - Keran
Oromia,Addis Ababa,Lideta
Oromia,Addis Ababa,Nefas Silk
Oromia,Addis Ababa,Yeka
SNNPR,Alaba Special,Halaba
SNNPR,Alaba Special,Halaba Town
SNNPR,Amaro Special,Amaro
SNNPR,Basketo Special,Basketo
SNNPR,Bench Maji,Bero
SNNPR,Bench Maji,Debub Bench
SNNPR,Bench Maji,Guraferda
SNNPR,Bench Maji,Maji
SNNPR,Bench Maji,Meinit Goldeya
SNNPR,Bench Maji,Meinit Shasha
SNNPR,Bench Maji,Mizan Aman Town
SNNPR,Bench Maji,Semen Bench
SNNPR,Bench Maji,Shay Bench
SNNPR,Bench Maji,Sheko
SNNPR,Bench Maji,Surma
SNNPR,Burji Special,Burji
SNNPR,Dawro,Genabosa
SNNPR,Dawro,Isara
SNNPR,Dawro,Loma
SNNPR,Dawro,Mareka
SNNPR,Dawro,Tercha Town
SNNPR,Dawro,Tocha
SNNPR,Derashe Special,Derashe
SNNPR,Gamo Gofa,Abobo
SNNPR,Gamo Gofa,Arba Minch Town
SNNPR,Gamo Gofa,Arba Minch Zuriya
SNNPR,Gamo Gofa,Ayida
SNNPR,Gamo Gofa,Bonke
SNNPR,Gamo Gofa,Boreda
SNNPR,Gamo Gofa,Chencha
SNNPR,Gamo Gofa,Demba Gofa
SNNPR,Gamo Gofa,Deramalo
SNNPR,Gamo Gofa,Dita
SNNPR,Gamo Gofa,Gezegofa
SNNPR,Gamo Gofa,Kemba
SNNPR,Gamo Gofa,Kucha
SNNPR,Gamo Gofa,Melekoza
SNNPR,Gamo Gofa,Merab Abaya
SNNPR,Gamo Gofa,Sawla Town
SNNPR,Gamo Gofa,Uba Debre Tsehay
SNNPR,Gedeo,Bule
SNNPR,Gedeo,Dila Town
SNNPR,Gedeo,Dila Zuria
SNNPR,Gedeo,Gedeb
SNNPR,Gedeo,Kochire
SNNPR,Gedeo,Wenago
SNNPR,Gedeo,Yergachefe Town
SNNPR,Gedeo,Yirgachefe Woreda
SNNPR,Gurage,Abeshge
SNNPR,Gurage,Butajira Town
SNNPR,Gurage,Cheha
SNNPR,Gurage,Endegagn
SNNPR,Gurage,Enemorna Ener
SNNPR,Gurage,Ezha
SNNPR,Gurage,Gedebano Gutazer Wellene
SNNPR,Gurage,Geta
SNNPR,Gurage,Gumer
SNNPR,Gurage,Kebena
SNNPR,Gurage,Mareko
SNNPR,Gurage,Mesekan
SNNPR,Gurage,Muhor Na Aklil
SNNPR,Gurage,Sodo
SNNPR,Gurage,Welkite Town
SNNPR,Hadiya,Analimo
SNNPR,Hadiya,Duna
SNNPR,Hadiya,Gibe
SNNPR,Hadiya,Gomibora
SNNPR,Hadiya,Hosaena Town
SNNPR,Hadiya,Lemo
SNNPR,Hadiya,Merab Badwacho
SNNPR,Hadiya,Misha
SNNPR,Hadiya,Misrak Badawacho
SNNPR,Hadiya,Shashago
SNNPR,Hadiya,Soro
SNNPR,Hawassa City Transitional Administration,Hawassa City Administration
SNNPR,Keffa,Adyo
SNNPR,Keffa,Bitta
SNNPR,Keffa,Bonga Town
SNNPR,Keffa,Chena
SNNPR,Keffa,Cheta
SNNPR,Keffa,Decha
SNNPR,Keffa,Gesha Deka
SNNPR,Keffa,Gewata
SNNPR,Keffa,Gimbo
SNNPR,Keffa,Sayilem
SNNPR,Keffa,Telo
SNNPR,Kembata Tembaro,Angacha
SNNPR,Kembata Tembaro,Deniboya
SNNPR,Kembata Tembaro,Doyo Gena
SNNPR,Kembata Tembaro,Durame Town
SNNPR,Kembata Tembaro,Hadero Tunito
SNNPR,Kembata Tembaro,Kacha Bira
SNNPR,Kembata Tembaro,Kedida Gamela
SNNPR,Kembata Tembaro,Tembaro
SNNPR,Konso Special,Konso
SNNPR,Konta Special,Konta
SNNPR,Segen,Alle
SNNPR,Sheka,Anderacha
SNNPR,Sheka,Masha
SNNPR,Sheka,Masha Town Admin
SNNPR,Sheka,Tepi Town Admin
SNNPR,Sheka,Yeki
SNNPR,Sidama,Aleta Cheko
SNNPR,Sidama,Aleta Wendo
SNNPR,Sidama,Aleta Wondo Town
SNNPR,Sidama,Arbegona
SNNPR,Sidama,Aroresa
SNNPR,Sidama,Bensa
SNNPR,Sidama,Bona Zuria
SNNPR,Sidama,Boricha
SNNPR,Sidama,Bursa
SNNPR,Sidama,Chere
SNNPR,Sidama,Dale
SNNPR,Sidama,Dara
SNNPR,Sidama,Gorche
SNNPR,Sidama,Hawassa Zuria
