GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,AEZ_id
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.1_1,Addis Ketema,Oromia
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.2_1,Akaki - Kalit,Oromia
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.3_1,Arada,Oromia
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.4_1,Bole,Oromia
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.5_1,Gulele,Oromia
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.6_1,Kirkos,Oromia
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.7_1,Kolfe - Keran,Oromia
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.8_1,Lideta,Oromia
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.9_1,Nefas Silk,Oromia
ETH,Ethiopia,ETH.1_1,Addis Abeba,ETH.1.1_1,Addis Ababa,ETH.1.1.10_1,Yeka,Oromia
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.1_1,Alaba Special,ETH.10.1.1_1,Halaba,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.1_1,Alaba Special,ETH.10.1.2_1,Halaba Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.2_1,Amaro Special,ETH.10.2.1_1,Amaro ,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.3_1,Basketo Special,ETH.10.3.1_1,Basketo ,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.1_1,Bero,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.2_1,Debub Bench,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.3_1,Guraferda,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.4_1,Maji,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.5_1,Meinit Goldeya,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.6_1,Meinit Shasha,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.7_1,Mizan Aman Town,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.8_1,Semen Bench,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.9_1,Shay Bench,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.10_1,Sheko,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.4_1,Bench Maji,ETH.10.4.11_1,Surma,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.5_1,Burji Special,ETH.10.5.1_1,Burji,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.6_1,Dawro,ETH.10.6.1_1,Genabosa,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.6_1,Dawro,ETH.10.6.2_1,Isara,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.6_1,Dawro,ETH.10.6.3_1,Loma,SNNPR
ETH,Ethiopia,ETH.10_1,Southern Nations Nationalities and Peoples,ETH.10.6_1,Dawro,ETH.10.6.4_1,Mareka,SNNPR
